id	interaction_cnt
3cffd0c9d094cf14d22ff340482ef2c020241226	0.5
b965e7c927d6bac84551daf6241e83a720250106	0.5
4346b75107f7426b926dae0db04872e320241225	0.5
e90b8ac404f72f85cc9abb03141956d820250104	0.5
bb1e320efd63588f666bc890c161542120241225	0.5
19d5ae041dd12938afb7463d55d35a3020241225	0.5
5c78b177eabac22d1eb85e412013852e20241228	0.5
0bc07f1510f5a13990ee9f6637c13e6820241225	0.5
9a2cf1f04b271d187bcf9e966bc8ed2e20241226	0.5
90872abd0f9f8eff317564dc876feeba20241225	0.5
fccb7d64b3793384999c302e796a350d20241230	0.5
f1ecc89a85573004b564c1ef819d399620241227	0.5
beacbdfe4c4d3ec671e0cc5362e5dc9320241225	0.5
b8f4cccc519eda5782d10a6de9314a0920241231	0.5
6ef6ef1968eec972227047a9b6c498bc20241228	0.5
5b177dbc396c38d088e2d4e4a1d3181820241225	0.5
9d4841a51b4727e0c682a6a8800d706120241225	0.5
096000c41e2ede00dc49a5b2d4e3e1d520241226	0.5
c8d5a24447876eecbddb52cee4f4315420241225	0.5
511618734857074820241227	0.5
8fe0597fc8d70f86aff8d10d3f2f201b20241225	0.5
31e62861586dab95855440165364387820241225	0.5
fe9a5f1869330e01f28b02f424fc582120241228	0.5
ae072dc7e38c74713616fd6afdc4b19c20241225	0.5
6087eb423b9499ca5f6967fe760ee16b20241228	0.5
327aea3697b8fa3fcc17ad15abee05fc20241228	0.5
bb5451e1e512a4ec29b3f090d488783020241229	0.5
1e5add1ea27e5c2a70c57d2b3e07778120241225	0.5
3dddc65090232bed0a1894285f243cc820241225	0.5
3131a34c926fc8bd6e01dd6fa4cba02320250102	0.5
15a49eb00ad57d555b9b199fed87fad420241230	0.5
60d1e829f20244857a1a63bae18120cc20241225	0.5
6937f3f1c0e7dbac282f51d7a772b9fe20241227	0.5
7012a8716a0b7b340493df192ff3fbbb20241228	0.5
511619521026925920241227	0.5
be0fd61298deab207b4edcd504e362c320241225	0.5
25f16ae0faadb8f7841aa9bf06b4659e20241226	0.5
78e4353f2711deb83fd72f97da60f7ff20241225	0.5
7b18aeeee8c4631c0f11cb491bf83faf20241225	0.5
12572404872f6d437fe7c18aec1c259120241228	0.5
b6c1727d9f125efe11d2b7eeee3b548b20241227	0.5
879ee3d5404c77195f166a465d2d27b520241225	0.5
e1bf5aa0ba2768800fdfc0d69752ce8e20241225	0.5
ce60019fe5505bec8511d8608e2ce52a20241225	0.5
511554489444545820241225	0.5
ad2aa6bb0f46245254e7551e8e2863e820241225	0.5
5ad3c126295824c505eaa08ca1ab16f020241225	0.5
511802178326375020250101	0.5
0027c288a7afc64f5b8a242b0b4c6d0020241225	0.5
325fbc6e6416542b16be4acafabbc80a20241226	0.5
35ce3207b86d67eb9f227f5fe315b4f820241227	0.5
d876b4add334d27f2bb161691686e37320241225	0.5
2f7ac9c020dbeb2a988f4dccafce956c20241225	0.5
ef547af7355e7fcd3e7cfb990f997cea20241225	0.5
0eaff015861974d289063514be3c271c20250102	0.5
cc883e81847c81a8a6cf8b67f0f9348020241231	0.5
511745295725459120241231	0.5
a85d6d48261e187871f2cdc15b7ce34720241225	0.5
5df2d921751018e9a78acfeccab4bccf20241228	0.5
ca02eb9f81a277f164b82d0abff5665020241225	0.5
90ea750517a9ba9e107797f887844e4420241225	0.5
41de8567ee1b0bbc3f88c544db5ebff320241225	0.5
2c7ac38bff6aa4f294ddf9e5a59508d620241227	0.5
511627485564836420241227	0.5
7dc2f22adce03289d87ca7707b767e8020241225	0.5
134acde6717f6dfc1908cabd69362bf920241228	0.5
d5453fe1275667e2fe4e4525dd9c3c2e20250101	0.5
0a733e2a2b0bbd8170bbf3e182142aad20250101	0.5
7e8eec8e7641db096364ae7480d0159420241225	0.5
90bd81e6790bdccafafac5b5d9751eb520250101	0.5
da5f73895208146d31278eed9fd31a2320241225	0.5
d683e0c6429dc7ba2929f3f4f28ee87f20241225	0.5
50e4395fc892d9edd9020ab7ce8bf19c20241230	0.5
f732ea56cc61d162b2397704287a602920241225	0.5
fb3f2d9445c026c3bc411155d30a138d20241226	0.5
511762599274129320250103	0.5
263efdebe80284f2fd4d0a808fb89d6320241225	0.5
7f7c5d20d2a3a3b035011e0344ba7baa20241226	0.5
6f289f24484849de53a5e677859f1f6820241227	0.5
15aea85721de4f78364eee8085a62a5220241230	0.5
97e0dfea57cdf6f101e09dd36294591b20250103	0.5
b55137b239cd79087e64e94d785aa88220241226	0.5
53bbb6a29bad00f93477a6c7f409e1da20250103	0.5
511763119577929620241231	0.5
6e5b42b0738397a5b23ba8ccbbf0b01120241227	0.5
0345242a5b9d0029b7a12b04a1341d3320241226	0.5
c9a1d08390868143638a741b2a75c6bd20241227	0.5
cb9a2ccb1898ebe9ea3d1b0a62fd6e0820241225	0.5
df46b20948c07632412abdaa928569de20241231	0.5
778ec7406f7fb5714abd8d22d72992ec20241225	0.5
511872854157278120250103	0.5
df20a70c091bb83d7b0ae3250712fee820241231	0.5
8f9886472a3f05358c3dcffa1385c2d320241225	0.5
944f206d682d7dda8f4073f2b48f403920241227	0.5
5a5d88cca501faaf9d86e62d7db37a5020241225	0.5
256703a2d4f3dcc99e38a7ca7a583d4920241228	0.5
bca941b5601bb76c135299372242bdf020241228	0.5
cd0f5266e1ecfd0115823507a2154d0020241231	0.5
786d55f7512481ae407d2918860b2aa320241230	0.5
6894f96ca40f34cc7d4f959410b8c0b920250101	0.5
64862bdf179aa9862abb2cd18178c14a20241225	0.5
6c1f54f60c2dbcc78a15d9abe104ee8220241225	0.5
252aee25c36a8feb56ad77775ae1ea0820241228	0.5
ba7649f2e15b6cbc0261fef4894b29fb20241227	0.5
d58b7f4c3b6f99f03d22feae0e009f3620241225	0.5
6107e915c081c1bfdda2cfd8748836d320241229	0.5
53cc34f614e63fbfa1b89a87ea7eba2c20241225	0.5
511670877998768520241229	0.5
a84c20615c96c9063d4821fe2554957320241227	0.5
5f169076975612736500f64bdd6d610a20241227	0.5
95d45b507c7a16b43e331a8e4aa2651520241231	0.5
5a067f8b30506ea72d05e636b3cb40f020241231	0.5
e2e8e251eb9b1a553a9d8adabb9e397d20241225	0.5
8434da8fde9d4db048a1750f24a44b0320241225	0.5
d0b2d20896fccbc86447e0c94df39f0120241227	0.5
82f004e77564a4824a10647c6eb9c08720241228	0.5
3395795b88d235db014ee7adb7abab7620241228	0.5
14153d28e514437c07e3c703c218693a20241227	0.5
09b9c39ec780115769e39b907266550420241228	0.5
a4e85bf033da04108536bf9510f7bc7620241225	0.5
fa40a6efd6c20d00a5b0a90730f32b5720241227	0.5
d1557f4a365c0e4747a4b83282e76bb820241231	0.5
ed96a85bafa55408b729ded70a5e065b20241227	0.5
3089e7505e2835f306a7859bc9d8b6b620241227	0.5
373f6a8c2b692d2469d6952a7ab148b920241225	0.5
98644fdc5700cbf02ff81cfe496ec87220241230	0.5
570415342f6ad8e6ff97e08d027be28a20241225	0.5
5027950a649dadd9bef1b9e0f43440bd20250101	0.5
f10d4df1ea0d6b657c14b556d75a4c3f20241226	0.5
c42e2bf35a0a5fd8513d431eb119629220241226	0.5
94f395569966fa3f24713a17b7f56b2420241225	0.5
2fe4e121e663b1663488b4bbafac699920241227	0.5
7e57b0ac094fb87e24759127729458fb20241229	0.5
04199b73554bb294e144ecec4d3f726520241225	0.5
6ebfc039936f93c17e5ed3a813298e6220250104	0.5
8c339d379df07f16581d2f103fdba6c020250103	0.5
a06ce75cb371c17572f8ff0f5566d9d220250104	0.5
1df40d7c717e62f40e7f14f9e3bafd9920241225	0.5
665a249e20a30058aa109083ba6e6ddf20241225	0.5
511621519245505120241227	0.5
630dd760d96741cb5c62b4013b07d79d20241225	0.5
67500e2b27bcef6d84942227e968615420241229	0.5
f2b7bbf343e9ef68eb6e8e21c45fd8a820241226	0.5
5a7663c807bae2c71b60e2fb2d18e68420241228	0.5
5e917fa10cd142bde0412530bbe6061e20241229	0.5
f790a65e3b58e067fd9eac644a74656920241228	0.5
1de743a23de5fa1123c28f36d72cccdc20241225	0.5
9903407e1e37e521e987cf32ed3481f720241231	0.5
d67ea1a6f72a6b0b1dd66f40ba6741f920250102	0.5
118318fde1a977be870342176243ff0720241225	0.5
a48785fc7d8f89a3a38785ee923b660120241229	0.5
5dbf8ea33ab060de904ada26afac723120241229	0.5
511707590086338320241231	0.5
d1bf181fb017a97ee841a9849855ac0020241225	0.5
63f3f020ea4668a9f8a3fb9ae6c1ec0420241229	0.5
b53b3a66d6407f1bd676e86bcb10811820241228	0.5
8d94d0e61381ee0aa9d43f98dea7203a20241225	0.5
e38967c62a98c2210a82a65c3684db1f20241227	0.5
9e3fb8e260d4a67bed4b8358d2ada09120241228	0.5
38c9ff47eadeb47d82d3da41487ef3fc20250103	0.5
d5c288cc44c271cd1def5b3b291ce25220241231	0.5
4787913a2386ea0e8055d6b20e89f8d020241228	0.5
5e15ee4df9c9c31362d27fba4be0652b20241225	0.5
112cb49a4b2b60a379116fb99524eba420241227	0.5
3fd7bcaaa118e4420291e8c4a03f3aca20241225	0.5
